subdivision,year,jan,feb,mar,apr,may,jun,ju;,aug,sep,oct,nov,dec,annual_rainfall_mm,state_name
West Uttar Pradesh,2012,14.5,0.1,1.4,4.7,0.3,4,145.1,149.1,67.8,0.5,0.1,2,389.6,UTTAR PRADESH
West Uttar Pradesh,2013,20.4,69.5,3.5,1.6,2.1,190.6,233.9,287.1,52.2,61.2,1.7,8.9,932.8,UTTAR PRADESH
West Uttar Pradesh,2014,48.3,29.4,22.6,5.3,11,22,151.6,81,84.7,14.6,0,16.3,486.9,UTTAR PRADESH
West Uttar Pradesh,2015,31.6,7.2,66.8,21,8.1,72,194.2,143.5,26.5,6.9,2,3,582.7,UTTAR PRADESH
West Uttar Pradesh,2016,2.1,2,10.4,0.5,28.3,60,352.5,182.9,44.7,9.6,0,0,692.8,UTTAR PRADESH
West Uttar Pradesh,2017,22,1.1,8.5,1.4,13.5,85.1,181,129.8,140.7,0.6,0,1.6,585.2,UTTAR PRADESH
Uttarakhand,2010,11.4,62.1,3.8,13.8,47,72.7,455.8,335.7,389.7,8,4.5,19.5,1424,UTTARAKHAND
Uttarakhand,2011,30.9,65.2,18,30.9,84.2,223.1,433.3,523.7,148.4,3.4,1.2,2.3,1564.7,UTTARAKHAND
Uttarakhand,2012,38.8,11.9,28.1,39.2,9.1,46,387.1,419.5,220.6,4.7,3.4,15.5,1223.9,UTTARAKHAND
Uttarakhand,2013,73,188.3,22,24.7,18.2,488.9,413.4,359.4,111.3,29.1,3.2,3.8,1735.4,UTTARAKHAND
Uttarakhand,2014,45.9,99.9,68.4,37.6,52.9,62.9,462.7,264.2,107.9,40.8,0,44.3,1287.4,UTTARAKHAND
Uttarakhand,2015,54.5,62.6,127.3,57.3,38,186.6,337,305.3,52.6,16.8,2.4,7.2,1247.6,UTTARAKHAND
Uttarakhand,2016,5.4,29.3,45.8,9.9,99.3,174.4,508.4,308.5,111.4,12.7,0,3.5,1308.6,UTTARAKHAND
Uttarakhand,2017,36.6,13.5,44.5,52.8,108.2,175.6,460.9,349,213.4,2.8,0.2,18.3,1476,UTTARAKHAND
